shipment_id,order_id,customer_id,origin_warehouse,destination_city,carrier,ship_date,delivery_date,weight_kg,quantity,status,cost_usd,tracking_number,error_flag
SHIP100070,ORD200070,CUST300070,WH_BRS,Bristol,DHL,2025-07-14,2025-07-20,64.16,30,Pending,141.06,1Z83ADM8V5BKBRHIHB,
SHIP100543,ORD200543,CUST300543,WH_LON,London,RoyalMail,2025-02-17,2025-02-21,94.72,18,Delivered,106.9,1ZH5TU96LHFUHNC3YP,
SHIP100107,ORD200107,CUST300107,WH_BIR,Birmingham,UPS,2025-08-13,2025-08-19,116.6,50,Pending,368.16,1ZGNC2J7F79TCKKHCO,
SHIP100493,ORD200493,CUST300493,WH_MAN,Birmingham,FedEx,2025-01-03,2025-01-07,52.14,15,Delivered,270.86,1ZN7TXWPK65B3JY14C,
SHIP100590,ORD200590,CUST300590,WH_LIV,Manchester,UPS,2025-02-15,2025-02-16,135.91,45,Delivered,336.37,1Z35B3Z210XSWTH9AU,
SHIP100741,ORD200741,CUST300741,WH_MAN,London,UPS,2025-04-09,2025-04-11,130.31,38,In Transit,131.43,1ZWXTABBP2K7R8YO0J,
SHIP100292,ORD200292,CUST300292,WH_LIV,Liverpool,RoyalMail,2025-04-17,2025-04-23,157.55,9,Cancelled,212.57,1ZEGUSD150TX3BZ52R,
SHIP100289,ORD200289,CUST300289,WH_LON,Birmingham,FedEx,2025-02-23,2025-02-28,35.07,11,Cancelled,59.44,1ZEZA710VC5TW12FM4,
SHIP100652,ORD200652,CUST300652,WH_BIR,Liverpool,FedEx,2025-04-28,2025-05-08,70.93,40,Delivered,100.99,1Z8YOQUST7XJWK3E9O,
SHIP100039,ORD200039,CUST300039,WH_BIR,Manchester,FedEx,2025-08-22,2025-09-01,121.61,23,In Transit,321.94,1ZMOPNUMWNBFKQ3AQ6,
SHIP100589,ORD200589,CUST300589,WH_LIV,Birmingham,RoyalMail,2025-04-12,2025-04-22,169.97,19,In Transit,309.18,1Z55BD22S0JH3YTNZ0,
SHIP100307,ORD200307,CUST300307,WH_LIV,London,FedEx,2025-06-30,2025-07-10,196.86,41,Cancelled,64.36,1Z9I66QOL6LQ4XUVQ9,
SHIP100679,ORD200679,CUST300679,WH_BRS,London,UPS,2025-03-02,2025-03-11,115.05,21,In Transit,337.18,1ZPB69L1LNLHWSJH82,
SHIP100066,ORD200066,CUST300066,WH_MAN,Manchester,FedEx,2025-05-21,2025-05-30,142.51,45,In Transit,398.91,1ZI474S0JDSJM3BZPI,
SHIP100275,ORD200275,CUST300275,WH_LON,Birmingham,RoyalMail,2025-03-09,2025-03-12,120.28,10,Pending,479.44,1Z6K0IRXTH87YT9QDF,
SHIP100067,ORD200067,CUST300067,WH_BRS,London,FedEx,2025-07-16,2025-07-23,194.49,42,Pending,230.49,1ZOCVSN6YFW1455BPC,
SHIP100318,ORD200318,CUST300318,WH_BIR,Liverpool,RoyalMail,2025-08-18,2025-08-22,44.11,28,Cancelled,289.97,1ZXDJ43GCLGMFGESBD,
SHIP100548,ORD200548,CUST300548,WH_BIR,Manchester,DHL,2025-02-10,2025-02-20,187.41,30,Delivered,106.91,1ZLALB01BH5TD0FB6M,
SHIP_BAD100048,ORD_BAD200048,CUST_BAD300048,WH_LIV,Bristol,DHL,2025-07-29,2025-08-04,93.03,0,In Transit,406.13,1ZK3BMH5BLHAJ6KYJB,zero_or_negative_quantity
SHIP100714,ORD200714,CUST300714,WH_LON,Birmingham,DHL,2025-07-17,2025-07-23,12.25,23,Pending,54.82,1ZKZLUV3T362VQ8TS1,
SHIP100753,ORD200753,CUST300753,WH_BRS,Birmingham,RoyalMail,2025-07-03,2025-07-10,106.63,42,Cancelled,208.93,1ZKI75HH2LR4NO1YPY,
SHIP100327,ORD200327,CUST300327,WH_LIV,Birmingham,UPS,2025-03-04,2025-03-12,168.39,11,Pending,307.42,1Z64Q6O09F6PWJF1MI,
SHIP100382,ORD200382,CUST300382,WH_LIV,Bristol,DHL,2025-04-10,2025-04-14,191.62,37,Cancelled,57.73,1Z0RBVSWHG6A2KC2PG,
SHIP100451,ORD200451,CUST300451,WH_BIR,Liverpool,RoyalMail,2025-06-10,2025-06-19,80.18,19,Pending,223.38,1ZAXOIMDN5I7MPI9GX,
SHIP100522,ORD200522,CUST300522,WH_BRS,London,FedEx,2025-06-25,2025-06-26,189.38,20,In Transit,324.06,1ZQJ1A6Y1TVQI6DPW3,
SHIP100218,ORD200218,CUST300218,WH_BRS,Liverpool,DHL,2025-08-25,2025-09-02,162.66,45,Cancelled,57.66,1ZBNRGY5W9D6XBUBH2,
SHIP100787,ORD200787,CUST300787,WH_BIR,London,UPS,2025-06-13,2025-06-22,192.99,8,Pending,90.37,1Z5GEAL2U6J9IR0VK6,
SHIP100436,ORD200436,CUST300436,WH_LIV,Birmingham,FedEx,2025-08-25,2025-09-03,121.31,19,Delivered,163.78,1Z2FZKMRWV049JXQ41,
SHIP100764,ORD200764,CUST300764,WH_BRS,London,FedEx,2025-03-13,2025-03-20,177.28,42,Pending,326.85,1ZZFAG617B5JSD15KX,
SHIP100088,ORD200088,CUST300088,WH_MAN,Manchester,UPS,2025-05-17,2025-05-23,102.81,32,Cancelled,58.32,1ZZGUWDEK759XKF5BD,
SHIP100063,ORD200063,CUST300063,WH_LON,Birmingham,DHL,2025-05-13,2025-05-18,86.41,12,Delivered,167.39,1Z2NBLFOC1VCZ9ZY2M,
SHIP100826,ORD200826,CUST300826,WH_BIR,Manchester,UPS,2025-05-09,2025-05-11,181.01,30,In Transit,396.94,1ZCYE5XCG03MZK5P34,
SHIP100716,ORD200716,CUST300716,WH_MAN,Liverpool,UPS,2025-02-24,2025-03-03,56.17,31,Pending,212.58,1ZQYSI5HST2WQ291CK,
SHIP100351,ORD200351,CUST300351,WH_LIV,Bristol,FedEx,2025-02-01,2025-02-02,130.7,6,Delivered,427.21,1Z1ZIDJFY0AYISNGKP,
SHIP100936,ORD200936,CUST300936,WH_MAN,Bristol,RoyalMail,2025-08-11,2025-08-13,73.53,46,In Transit,304.7,1ZP5F3EKQP4TBDPA5T,
SHIP100256,ORD200256,CUST300256,WH_BRS,Manchester,FedEx,2025-04-24,2025-05-04,142.12,2,Pending,118.96,1ZU58442OS2RR13SI2,
SHIP100635,ORD200635,CUST300635,WH_BRS,Birmingham,DHL,2025-05-22,2025-06-01,177.89,19,In Transit,272.28,1ZDDY8B30IBMZ7666S,
SHIP100644,ORD200644,CUST300644,WH_MAN,Bristol,DHL,2025-08-10,2025-08-17,194.63,7,Cancelled,144.94,1ZZ8793G35GSO66053,
SHIP100554,ORD200554,CUST300554,WH_BRS,London,DHL,2025-03-05,2025-03-07,170.61,40,Pending,430.01,1ZYXADK5176FV2F0RW,
SHIP_BAD100009,ORD_BAD200009,CUST_BAD300009,WH_LON,London,UPS,2025-08-24,2025-09-02,157.55,7,Pending,397.45,1Z4JUA4,bad_tracking
SHIP100168,ORD200168,CUST300168,WH_LON,Manchester,DHL,2025-06-03,2025-06-13,43.71,39,Cancelled,434.98,1Z6TLST6N9QCGL8D37,
SHIP100917,ORD200917,CUST300917,WH_MAN,Birmingham,RoyalMail,2025-02-14,2025-02-17,149.43,45,Cancelled,41.46,1ZII5Y7IJHBJU2ID2Q,
SHIP100528,ORD200528,CUST300528,WH_BRS,London,FedEx,2025-04-15,2025-04-24,144.95,21,Delivered,28.83,1ZWO002DKUR1J0THKD,
SHIP100823,ORD200823,CUST300823,WH_BIR,Birmingham,UPS,2025-08-30,2025-09-08,78.01,3,Pending,21.3,1ZLUL97FWQ8GXI33LN,
SHIP_BAD100035,ORD_BAD200035,CUST_BAD300035,WH_BIR,London,RoyalMail,2025-01-27,2025-02-03,19.14,0,Cancelled,217.9,1ZSZ4KGTFKP77EH1B1,zero_or_negative_quantity
SHIP100816,ORD200816,CUST300816,WH_BIR,London,RoyalMail,2025-07-01,2025-07-06,22.64,11,Pending,242.24,1Z0981ZTRASW65N0C7,
SHIP100086,ORD200086,CUST300086,WH_BIR,Liverpool,UPS,2025-06-28,2025-07-05,75.6,49,Cancelled,128.07,1Z8U5G2EEJD9B2GDJT,
SHIP100432,ORD200432,CUST300432,WH_BIR,Bristol,UPS,2025-02-17,2025-02-26,8.87,46,In Transit,39.8,1ZP99OUCPLC2FI8BDT,
SHIP100184,ORD200184,CUST300184,WH_MAN,Birmingham,DHL,2025-02-04,2025-02-10,137.71,32,Cancelled,156.81,1ZRSLSJ6VF8PNT72MI,
SHIP_BAD100028,ORD_BAD200028,CUST_BAD300028,WH_BRS,Birmingham,UPS,2025-04-16,2025-04-26,76.92,0,Pending,80.07,1ZOVRRVP6YQPML7O94,zero_or_negative_quantity
SHIP100534,ORD200534,CUST300534,WH_LON,Liverpool,RoyalMail,2025-03-13,2025-03-17,19.87,3,In Transit,441.31,1ZHHRLZDFKG0HOCC3D,
SHIP100294,ORD200294,CUST300294,WH_LON,London,UPS,2025-08-14,2025-08-19,78.3,47,In Transit,265.03,1ZJ7IBCM0WJ9TAFIQU,
SHIP100892,ORD200892,CUST300892,WH_LON,Liverpool,UPS,2025-05-06,2025-05-11,45.49,5,In Transit,246.26,1ZMU31H76HY2FRR61P,
SHIP100425,ORD200425,CUST300425,WH_BRS,Birmingham,DHL,2025-04-08,2025-04-09,77.73,25,In Transit,220.56,1ZF4FWZD6F28L8QVSK,
SHIP100713,ORD200713,CUST300713,WH_LIV,Bristol,FedEx,2025-03-13,2025-03-21,183.95,40,Delivered,444.84,1ZVA2HNWI59G3Z2XJX,
SHIP100260,ORD200260,CUST300260,WH_LON,Birmingham,RoyalMail,2025-06-22,2025-06-30,104.77,44,Pending,68.42,1ZEPZQW6D77UE8FHRR,
SHIP100237,ORD200237,CUST300237,WH_MAN,Birmingham,RoyalMail,2025-06-16,2025-06-26,138.63,14,In Transit,323.51,1ZIEXL16HYMSC084J3,
SHIP100559,ORD200559,CUST300559,WH_BIR,London,DHL,2025-04-12,2025-04-14,104.15,37,Pending,134.81,1ZJXQOSHBUDXIT7CER,
SHIP100583,ORD200583,CUST300583,WH_MAN,Manchester,DHL,2025-02-07,2025-02-09,70.44,25,Cancelled,48.28,1ZATJ1ZU2BBI03QK2I,
SHIP100445,ORD200445,CUST300445,WH_MAN,Birmingham,RoyalMail,2025-06-12,2025-06-13,44.65,11,In Transit,391.98,1Z3YL4JY0DSBCR217J,
SHIP100867,ORD200867,CUST300867,WH_LIV,Liverpool,RoyalMail,2025-06-22,2025-06-24,23.38,42,Delivered,148.73,1Z3F473CWAW76GWIHF,
SHIP100800,ORD200800,CUST300800,WH_BRS,London,FedEx,2025-07-07,2025-07-16,60.2,35,In Transit,323.26,1ZWG20BKAYXTSS7HVI,
SHIP100599,ORD200599,CUST300599,WH_BIR,Bristol,DHL,2025-05-09,2025-05-18,96.51,40,Delivered,394.89,1ZC36TJ90WSS3255TJ,
SHIP100849,ORD200849,CUST300849,WH_LIV,Birmingham,DHL,2025-02-15,2025-02-18,21.73,5,Cancelled,416.76,1ZNHLY35S5VDAUEJ16,
SHIP100265,ORD200265,CUST300265,WH_MAN,London,RoyalMail,2025-05-12,2025-05-19,117.8,21,Cancelled,289.47,1ZB3HO7HTO5AY7MZ2U,
SHIP_BAD100045,ORD_BAD200045,CUST_BAD300045,WH_BRS,London,DHL,2025-03-02,2025-03-04,162.0,20,Pending,95.01,1ZREJNI,bad_tracking
SHIP100529,ORD200529,CUST300529,WH_BIR,Birmingham,FedEx,2025-06-25,2025-07-05,136.73,40,Delivered,179.12,1ZZGX5JC5M6YZVD0S5,
SHIP100055,ORD200055,CUST300055,WH_MAN,London,FedEx,2025-06-04,2025-06-07,183.39,20,Cancelled,73.19,1ZP3KNB4PYZW3OI0BY,
SHIP100120,ORD200120,CUST300120,WH_LIV,London,RoyalMail,2025-05-23,2025-06-01,20.83,9,Pending,15.86,1ZTZ4TDMNK9T02WF4W,
SHIP100215,ORD200215,CUST300215,WH_LIV,Manchester,RoyalMail,2025-05-09,2025-05-12,146.62,34,Delivered,390.01,1Z5VTXO4QGPI0XOL3G,
SHIP100025,ORD200025,CUST300025,WH_LON,Manchester,RoyalMail,2025-08-07,2025-08-11,49.15,30,Cancelled,174.83,1ZHBHC9ALVKI68EJ8H,
SHIP100072,ORD200072,CUST300072,WH_BIR,Bristol,UPS,2025-04-09,2025-04-18,165.15,40,Pending,73.05,1Z3DZKD5LE11PSI5W5,
SHIP100044,ORD200044,CUST300044,WH_LIV,London,UPS,2025-08-10,2025-08-11,158.1,16,Delivered,17.73,1Z94F42GDLG7MQWNAN,
SHIP100247,ORD200247,CUST300247,WH_BIR,Bristol,RoyalMail,2025-03-29,2025-04-04,91.87,37,In Transit,450.16,1ZBS8DAU5AYM5J66PW,
SHIP100721,ORD200721,CUST300721,WH_LON,Liverpool,RoyalMail,2025-08-12,2025-08-13,152.03,45,Pending,48.68,1Z37P6VYNO9MM1AYHR,
SHIP100281,ORD200281,CUST300281,WH_BIR,Manchester,FedEx,2025-01-12,2025-01-22,42.67,4,Delivered,168.35,1Z12YDE6YV3U5SARN4,
SHIP100893,ORD200893,CUST300893,WH_BRS,Bristol,DHL,2025-08-02,2025-08-12,118.36,34,Cancelled,104.75,1ZG6QTUBUALSH0QJVR,
SHIP100914,ORD200914,CUST300914,WH_LIV,Birmingham,FedEx,2025-08-04,2025-08-05,161.07,43,Delivered,320.8,1ZSXVSYQAGBHL3XZPK,
SHIP100810,ORD200810,CUST300810,WH_BRS,London,RoyalMail,2025-06-01,2025-06-10,41.51,31,Cancelled,329.43,1ZCIQ7AH09800WXCIM,
SHIP100244,ORD200244,CUST300244,WH_LON,Birmingham,UPS,2025-08-16,2025-08-17,93.34,3,Delivered,189.55,1ZNPKR4CJNQRVPRRBW,
SHIP100822,ORD200822,CUST300822,WH_BRS,London,RoyalMail,2025-01-01,2025-01-02,113.76,48,In Transit,412.0,1Z4HXQKJRQQMDJQAZY,
SHIP100321,ORD200321,CUST300321,WH_LIV,Birmingham,RoyalMail,2025-01-22,2025-01-28,42.31,29,Pending,193.6,1ZK4X0TUCFOESJB0SX,
SHIP100643,ORD200643,CUST300643,WH_LON,Birmingham,DHL,2025-06-04,2025-06-07,44.16,28,In Transit,414.33,1ZZBGJZD6GWJBLQ6K1,
SHIP100158,ORD200158,CUST300158,WH_MAN,Bristol,RoyalMail,2025-08-22,2025-08-31,97.62,19,In Transit,166.95,1Z23YRJM7M7OU7TVQF,
SHIP_BAD100027,ORD_BAD200027,CUST_BAD300027,WH_LIV,Liverpool,,2025-03-13,2025-03-19,190.06,24,Cancelled,163.87,1ZRMZ9FAF5TKPT0E40,missing_carrier
SHIP100429,ORD200429,CUST300429,WH_MAN,Manchester,FedEx,2025-01-07,2025-01-17,151.57,22,Cancelled,434.21,1ZSXRTJYXAZJFPR9YG,
SHIP100941,ORD200941,CUST300941,WH_MAN,Bristol,DHL,2025-06-28,2025-07-02,14.94,14,Cancelled,486.26,1ZJWHM0HG25AT4AM7R,
SHIP100462,ORD200462,CUST300462,WH_BRS,Birmingham,DHL,2025-03-24,2025-03-30,64.81,7,Delivered,435.97,1Z0FCN3WBG60TGKFEU,
SHIP100309,ORD200309,CUST300309,WH_LIV,Manchester,DHL,2025-01-02,2025-01-09,176.08,2,In Transit,489.27,1ZF285BM3HTLMC938C,
SHIP100697,ORD200697,CUST300697,WH_LIV,Bristol,UPS,2025-02-12,2025-02-13,46.15,49,Cancelled,177.65,1ZFPQVJGCT6ZY64OP8,
SHIP100060,ORD200060,CUST300060,WH_BRS,Bristol,DHL,2025-08-03,2025-08-11,126.58,37,In Transit,362.09,1ZA0CK6OICYJSI0V1D,
SHIP100884,ORD200884,CUST300884,WH_LIV,Bristol,RoyalMail,2025-08-26,2025-08-27,129.98,29,Pending,74.61,1ZR8BUWBC8R9RPTSSA,
SHIP100595,ORD200595,CUST300595,WH_MAN,Bristol,UPS,2025-02-24,2025-02-27,106.41,34,In Transit,223.12,1ZYSGPJJR1BEMSHVXW,
